# Postprocessed results of turbulent pipe flow 
# Reynolds stress transporation term: k 
# ------------------------------------------------------------------
# uTau = 0.0241079 
# nu = 1.20482e-05 
# ------------------------------------------------------------------
# r	 1-r	 y+	 production	 Turbulent_Transport	 Viscous_Transport	  Pressure_Strain	 Pressure_Transport	 Viscous_Dissipation	 
# ------------------------------------------------------------------
1	0	0	0	2.08446403578857e-10	7.25123942452141e-06	-3.13641928384152e-20	0.000115217056296727	-1.05111363607849e-32
0.999955187634167	4.48123658329802e-05	0.0898253386646465	0	-2.22023187930084e-10	3.31564406789955e-05	-0.00434882999128411	0.00428216003927620	-1.04628755315919e-05
0.999902564001706	9.74359982940376e-05	0.195308178494976	0	-3.29573037614883e-09	8.56692580592497e-05	-0.00906774892534022	0.00896698273623258	-4.70809075241546e-05
0.999842130928339	0.000157869071661043	0.316444859873703	0	-2.31194119515473e-08	0.000189954091582419	-0.0140005518541336	0.0138511484547769	-0.000116846027540604
0.999773890361304	0.000226109638695959	0.453231479607750	0	-1.05294782733361e-07	0.000347189051777979	-0.0189890077088536	0.0187764290813352	-0.000225124202429732
0.999697844369260	0.000302155630739986	0.605663891118961	0	-3.60881555915515e-07	0.000559662704610897	-0.0238797719327344	0.0235912431078227	-0.000375207324069063
0.999613995142192	0.000386004857808042	0.773737704633485	0	-1.00955534202026e-06	0.000825595596820324	-0.0285310044521322	0.0281573701108026	-0.000568088383354950
0.999522344991310	0.000477655008690014	0.957448287384738	0	-2.42107160162462e-06	0.00113919887482760	-0.0328180789878256	0.0323556171591954	-0.000802467110843644
0.999422896348953	0.000577103651047017	1.15679076380634	0	-5.13677446386319e-06	0.00149111899923247	-0.0366381053255780	0.0360900976038449	-0.00107498149517796
0.999315651768484	0.000684348231515974	1.37176001574176	0	-9.84802603128912e-06	0.00186920466083399	-0.0399129765027384	0.0392908594640902	-0.00138062665121810
0.999200613924187	0.000799386075812980	1.60235068265148	0	-1.73082368495774e-05	0.00225949931334028	-0.0425907480155434	0.0419147188592683	-0.00171331245664105
0.999077785611161	0.000922214388838993	1.84855716182489	0	-2.81615642864970e-05	0.00264734164960675	-0.0446453589569175	0.0439443357996937	-0.00206649956042060
0.998947169745211	0.00105283025478897	2.11037360859901	0	-4.26849325879855e-05	0.00301845222780806	-0.0460748242083243	0.0453857165378347	-0.00243384697479927
0.998808769362744	0.00119123063725601	2.38779393656726	0	-6.04595649676196e-05	0.00335989712455001	-0.0468981390657647	0.0462644476158797	-0.00280980790971100
0.998662587620649	0.00133741237935103	2.68081181781935	0	-8.00104921365214e-05	0.00366084433035991	-0.0471512344431953	0.0466210622923342	-0.00319011796409964
0.998508627796193	0.00149137220380702	2.98942068315023	0	-9.84724384848974e-05	0.00391306182409919	-0.0468823755924058	0.0465059945410265	-0.00357213251051056
0.998346893286899	0.00165310671310104	3.31361372230470	0	-0.000111352090017372	0.00411114168662032	-0.0461474164055355	0.0459745871959603	-0.00395498735622157
0.998177387610434	0.00182261238956605	3.65338388420148	0	-0.000112455433878603	0.00425246643267226	-0.0450053038166964	0.0450825883036277	-0.00433957611394300
0.998000114404488	0.00199988559551201	4.00872387717602	0	-9.40333378110144e-05	0.00433695860504843	-0.0435141718773523	0.0438824943025391	-0.00472835736773574
0.997815077426654	0.00218492257334602	4.37962616922126	0	-4.71710724373967e-05	0.00436667092534311	-0.0417282788127685	0.0424209872550850	-0.00512502228941552
0.997622280554307	0.00237771944569298	4.76608298822959	0	3.75867247959631e-05	0.00434528181314236	-0.0396959321176176	0.0407375783079203	-0.00553406645073672
0.997421727784479	0.00257827221552098	5.16808632224403	0	0.000169418528865967	0.00427756083779646	-0.0374584297034158	0.0388644276904784	-0.00596031649559942
0.997213423233732	0.00278657676626803	5.58562791971243	0	0.000356287640541168	0.00416886196474154	-0.0350499348966983	0.0368271816728687	-0.00640846242283193
0.996997371138035	0.00300262886196501	6.01869928973380	0	0.000603975083440156	0.00402469059751723	-0.0324981146488548	0.0346465658843661	-0.00688263995720265
0.996773575852631	0.00322642414736896	6.46729170232555	0	0.000915185814829101	0.00385037479519538	-0.0298253144308355	0.0323404137503102	-0.00738609629039164
0.996542041851904	0.00345795814809602	6.93139618868995	0	0.00128882973240813	0.00365085350547686	-0.0270500222852833	0.0299257925665727	-0.00792095856896482
0.996302773729253	0.00369722627074698	7.41100354146576	0	0.00171956607381525	0.00343057762330268	-0.0241883855924252	0.0274209168347470	-0.00848811041014582
0.996055776196952	0.00394422380304804	7.90610431501042	0	0.00219767437882818	0.00319350572129070	-0.0212555834262805	0.0248466035553345	-0.00908716954249702
0.995801054086013	0.00419894591398695	8.41668882567292	0	0.00270928069109055	0.00294316710869372	-0.0182669137547186	0.0222271135627758	-0.00971655065880203
0.995538612346054	0.00446138765394599	8.94274715206038	0	0.00323692949113636	0.00268276114256460	-0.0152385169258972	0.0195903209784820	-0.0103735921989832
0.995268456045154	0.00473154395484599	9.48426913532667	0	0.00376045478820270	0.00241526352233197	-0.0121877189965509	0.0169672467710793	-0.0110547243233542
0.994990590369711	0.00500940963028895	10.0412443794584	0	0.00425807296658533	0.00214351688190434	-0.00913302953329560	0.0143910679181849	-0.0117556573913087
0.994705020624303	0.00529497937569701	10.6136622515534	0	0.00470760097740298	0.00187029205875779	-0.00609386010203651	0.0118957597974606	-0.0124715745431682
0.994411752231539	0.00558824776846101	11.2015118821184	0	0.00508769929928499	0.00159831444856511	-0.00309004596331926	0.00951454788455092	-0.0131973166037810
0.994110790731916	0.00588920926808401	11.8047821653571	0	0.00537904389275590	0.00133025566075799	-0.000141262989511452	0.00727834579227824	-0.0139275510982441
0.993802141783668	0.00619785821633201	12.4234617594717	0	0.00556533905801268	0.00106869584404606	0.00273357364368895	0.00521434042145252	-0.0146569205127689
0.993485811162616	0.00651418883738397	13.0575390869641	0	0.00563409816164660	0.000816066591792115	0.00551686349745397	0.00334484957496291	-0.0153801682032898
0.993161804762017	0.00683819523798301	13.7070023349389	0	0.00557714540924457	0.000574586855539886	0.00819278294056852	0.00168653160486564	-0.0160922428123899
0.992830128592411	0.00716987140758896	14.3718394554089	0	0.00539082595281916	0.000346203197079477	0.0107476254419234	0.000249979270564023	-0.0167883825512063
0.992490788781466	0.00750921121853398	15.0520381656074	0	0.00507594505389369	0.000132542573284909	0.0131700103934763	-0.000960318995765639	-0.0174641807909430
0.992143791573819	0.00785620842618096	15.7475859483053	0	0.00463748030606000	-6.51170584095675e-05	0.0154509817326079	-0.00194570806629494	-0.0181156365916795
0.991789143330920	0.00821085666907995	16.4584700521251	0	0.00408411936854893	-0.000245857077462867	0.0175839979183834	-0.00271284301412239	-0.0187391910800248
0.991426850530871	0.00857314946912902	17.1846774918631	0	0.00342767519692274	-0.000409112328392394	0.0195648181875243	-0.00327297551305395	-0.0193317504306734
0.991056919768265	0.00894308023173496	17.9261950488115	0	0.00268242763766382	-0.000554654388403303	0.0213913319787050	-0.00364112860074712	-0.0198906975916442
0.990679357754020	0.00932064224597995	18.6830092710926	0	0.00186442838020629	-0.000682567089589400	0.0230633387645758	-0.00383521327765817	-0.0204138907904951
0.990294171315216	0.00970582868478398	19.4551064739842	0	0.000990804394066115	-0.000793211812531687	0.0245823072370699	-0.00387514518369904	-0.0208996525459251
0.989901367394930	0.0100986326050700	20.2424727402510	0	7.90989672466282e-05	-0.000887182377441556	0.0259511470974746	-0.00378201460694499	-0.0213467537896519
0.989500953052064	0.0104990469479360	21.0450939204889	0	-0.000853317254273150	-0.000965257159000527	0.0271739644327253	-0.00357732520528437	-0.0217543921255581
0.989092935461176	0.0109070645388240	21.8629556334643	0	-0.00178974751823721	-0.00102835619068877	0.0282558065398692	-0.00328231742639126	-0.0221221611124386
0.988677321912312	0.0113226780876881	22.6960432664511	0	-0.00271457823299249	-0.00107750477814557	0.0292024338405543	-0.00291740035843587	-0.0224500151104003
