# Postprocessed results of turbulent pipe flow 
# Velocity fluctuations 
# ------------------------------------------------------------------
# uTau = 0.0241079 
# nu = 1.20482e-05 
# ------------------------------------------------------------------
# r	 1-r	 y+	 urur	 utut	 uzuz	 urut	 uruz	 utuz	 
# ------------------------------------------------------------------
1	0	0	3.43054912075522e-38	3.32002588228183e-38	3.16645264065004e-39	9.52129400000000e-11	-8.28960651607869e-44	-1.57320288723013e-42
0.999955187634167	4.48123658329802e-05	0.0897072246894398	1.06419960951976e-08	0.000648112903882032	0.00148070325424696	9.52129400000000e-11	-7.62033636149450e-07	-5.77650713619591e-08
0.999902564001706	9.74359982940376e-05	0.195051362036554	2.30097200173336e-07	0.00298626239869901	0.00698370817299380	1.02777100000000e-09	-7.91739787341469e-06	-2.64467729105765e-07
0.999842130928339	0.000157869071661043	0.316028757236195	1.52681573537522e-06	0.00761340765946302	0.0182876931877319	3.95968900000000e-09	-3.40701425851266e-05	-6.69575786207613e-07
0.999773890361304	0.000226109638695959	0.452635512227709	6.15774755308622e-06	0.0151154885147543	0.0374180189571879	1.19071900000000e-08	-0.000101341765595497	-1.31981996278035e-06
0.999697844369260	0.000302155630739986	0.604867485885396	1.87340898977654e-05	0.0260369848436437	0.0666420085162358	2.97772500000000e-08	-0.000244905463210015	-2.25779543916318e-06
0.999613995142192	0.000386004857808042	0.772720294207650	4.73920821456776e-05	0.0408555091017615	0.108460699811022	5.93929600000000e-08	-0.000517002678157270	-3.52226045826332e-06
0.999522344991310	0.000477655008690014	0.956189310519645	0.000105081847672867	0.0599605543682359	0.165592553292878	1.16358900000000e-07	-0.000991237007699162	-5.15084165248793e-06
0.999422896348953	0.000577103651047017	1.15526966566603	0.000210857435154664	0.0836372711541958	0.240942714597463	2.00170800000000e-07	-0.00176678564364058	-7.18586444574223e-06
0.999315651768484	0.000684348231515974	1.36995624822028	0.000391036041376215	0.112055897631571	0.337549902835634	3.12096300000000e-07	-0.00297199637358966	-9.68392868485964e-06
0.999200613924187	0.000799386075812980	1.60024370469162	0.000680096726711987	0.145267211633527	0.458502524537898	4.53601200000000e-07	-0.00476668282352951	-1.27296055457432e-05
0.999077785611161	0.000922214388838993	1.84612643973660	0.00112120890630929	0.183204093788855	0.606817041089055	7.47182700000000e-07	-0.00734234257417491	-1.64531747565288e-05
0.998947169745211	0.00105283025478897	2.10759861637757	0.00176631538717548	0.225688976460037	0.785275621474749	1.02186000000000e-06	-0.0109195572828919	-2.10514896273267e-05
0.998808769362744	0.00119123063725601	2.38465415621113	0.00267573846275980	0.272446601619380	0.996226799150855	1.36595100000000e-06	-0.0157420313831583	-2.68096507260636e-05
0.998662587620649	0.00133741237935103	2.67728673964774	0.00391732404283710	0.323121141975494	1.24136141987446	1.86603400000000e-06	-0.0220670912638941	-3.41192848580266e-05
0.998508627796193	0.00149137220380702	2.98548980612041	0.00556518128596544	0.377296396686327	1.52148486826195	2.25511500000000e-06	-0.0301529564560373	-4.34876084181780e-05
