# Postprocessed results of turbulent pipe flow 
# Mean velocity and pressure 
# ------------------------------------------------------------------
# uTau = 0.0241079 
# nu = 1.20482e-05 
# ------------------------------------------------------------------
# r	 1-r	 y+	 Ur	 Ut	 Uz	 dUz/dy	 P	 
# ------------------------------------------------------------------
1	0	0	-2.03323918813212e-38	4.36505329271164e-39	0	-1.00002392598074	-1.88190031834716e-17
0.999955187634167	4.48123658329802e-05	0.0897072246894398	6.73808399019589e-24	1.07039740066563e-05	0.0897072246894398	-0.999976074019263	-2.08376064433733e-08
0.999902564001706	9.74359982940376e-05	0.195051362036554	-1.46967609707927e-23	2.32742152651507e-05	0.195045881769954	-0.999914472147666	-3.28796807070636e-07
0.999842130928339	0.000157869071661043	0.316028757236195	9.17701622182328e-24	3.77101312416754e-05	0.316008275113812	-0.999824760914757	-1.93583850276270e-06
0.999773890361304	0.000226109638695959	0.452635512227709	2.04575316731419e-22	5.40105583477885e-05	0.452583188201595	-0.999684340394585	-7.32921046634163e-06
0.999697844369260	0.000302155630739986	0.604867485885396	-3.26724515321913e-22	7.21733129422623e-05	0.604753101193769	-0.999457496149881	-2.14537809132209e-05
0.999613995142192	0.000386004857808042	0.772720294207650	2.82998776338503e-22	9.21945324992950e-05	0.772489894452526	-0.999091413134353	-5.28956466423061e-05
0.999522344991310	0.000477655008690014	0.956189310519645	-3.64197853262222e-22	0.000114067756176403	0.955748613149502	-0.998511936508542	-0.000115179280963885
0.999422896348953	0.000577103651047017	1.15526966566603	-1.34714100654680e-21	0.000137782701677617	1.15445888110744	-0.997619440598804	-0.000228060664613353
0.999315651768484	0.000684348231515974	1.36995624822028	-7.75770515837875e-23	0.000163323718609922	1.36851363633315	-0.996285334814975	-0.000418684036898117
0.999200613924187	0.000799386075812980	1.60024370469162	3.37019040551063e-21	0.000190667943034980	1.59775503914348	-0.994349882976090	-0.000722472597054869
0.999077785611161	0.000922214388838993	1.84612643973660	-3.04253333886364e-21	0.000219783245593962	1.84195768977203	-0.991622092084983	-0.00118364381260933
0.998947169745211	0.00105283025478897	2.10759861637757	6.86902681723179e-23	0.000250626151729676	2.10080967838027	-0.987882386131085	-0.00185527485511311
0.998808769362744	0.00119123063725601	2.38465415621113	2.78796585877751e-21	0.000283140003147089	2.37389244048263	-0.982888582806348	-0.00279888771975444
0.998662587620649	0.00133741237935103	2.67728673964774	1.02260032409162e-20	0.000317253699508986	2.66066083935983	-0.976385333167881	-0.00408357026112975
0.998508627796193	0.00149137220380702	2.98548980612041	-2.66125907852312e-21	0.000352881374614597	2.96042525774791	-0.968116708902784	-0.00578469198432981
0.998346893286899	0.00165310671310104	3.30925655432894	-8.16263477005444e-21	0.000389923292416828	3.27233766657618	-0.957841112786226	-0.00798230643114898
0.998177387610434	0.00182261238956605	3.64857994246372	6.79757996340274e-21	0.000428268089098533	3.59538358195865	-0.945347249860384	-0.0107593517800904
0.998000114404488	0.00199988559551201	4.00345268844822	5.29556131358712e-21	0.000467796266839148	3.92838149830639	-0.930469625925882	-0.0141997664425769
0.997815077426654	0.00218492257334602	4.37386727017945	-1.00290035264099e-20	0.000508384619098410	4.26999082037691	-0.913101996374569	-0.0183866278031136
0.997622280554307	0.00237771944569298	4.75981592576956	-1.52339180465339e-20	0.000549911097552328	4.61872858247278	-0.893207381158952	-0.0234004024810489
0.997421727784479	0.00257827221552098	5.16129065379673	-3.74190476268624e-21	0.000592259556574113	4.97299444125142	-0.870823649645634	-0.0293173695443683
0.997213423233732	0.00278657676626803	5.57828321355902	-2.92564769634513e-20	0.000635323833383089	5.33110267075156	-0.846064186337068	-0.0362082486117307
0.996997371138035	0.00300262886196501	6.01078512532036	-6.83210139075765e-21	0.000679010711391764	5.69131927247382	-0.819113686352043	-0.0441370373796357
0.996773575852631	0.00322642414736896	6.45878767057750	-1.32767422301075e-20	0.000723241438510527	6.05190190947042	-0.790219617310176	-0.0531600417800632
0.996542041851904	0.00345795814809602	6.92228189232603	3.66792569645121e-21	0.000767951619916317	6.41114021521166	-0.759680262413081	-0.0633250693652761
0.996302773729253	0.00369722627074698	7.40125859531174	2.39925522782757e-21	0.000813089490442495	6.76739411383094	-0.727830495156900	-0.0746707535292483
0.996055776196952	0.00394422380304804	7.89570834631242	6.64580748566316e-21	0.000858612814104653	7.11912808617351	-0.695026521518027	-0.0872259818511789
0.995801054086013	0.00419894591398695	8.40562147441039	5.24662871284427e-20	0.000904484943845250	7.46493977208775	-0.661630773172298	-0.101009413662891
0.995538612346054	0.00446138765394599	8.93098807125867	5.61181861640978e-20	0.000950670838197000	7.80358184834673	-0.627997972279297	-0.116029086438065
0.995268456045154	0.00473154395484599	9.47179799136933	2.40571717746058e-20	0.000997133954068013	8.13397669592248	-0.594463150180251	-0.132282124211012
0.994990590369711	0.00500940963028895	10.0280408523990	-8.47548801012402e-20	0.00104383476439448	8.45522390946452	-0.561332127546735	-0.149754571104262
0.994705020624303	0.00529497937569701	10.5997060354270	-3.89594020493025e-20	0.00109073111286432	8.76660115878746	-0.528874688183022	-0.168421377524543
0.994411752231539	0.00558824776846101	11.1867826852527	-8.77917400021819e-20	0.00113777987313472	9.06755925697705	-0.497320432089047	-0.188246565311017
0.994110790731916	0.00588920926808401	11.7892597106831	2.31876292664497e-20	0.00118493877045820	9.35771250998602	-0.466857095026575	-0.209183591528530
0.993802141783668	0.00619785821633201	12.4071257848341	6.38789363880279e-20	0.00123216706597154	9.63682552121811	-0.437630981227889	-0.231175919780629
