# Postprocessed results of turbulent pipe flow 
# Reynolds stress transporation term: k 
# ------------------------------------------------------------------
# uTau = 0.0288969 
# nu = 5.26316e-05 
# ------------------------------------------------------------------
# r	 1-r	 y+	 production	 Turbulent_Transport	 Viscous_Transport	  Pressure_Strain	 Pressure_Transport	 Viscous_Dissipation	 
# ------------------------------------------------------------------
1	0	0	6.62002619453695e-38	-5.20626297721751e-08	0.000407969325047639	-0.109249355533745	0.109376718733626	2.19140383798324e-21
0.999843634831413	0.000156365168586969	0.0858477098836341	6.91505583922440e-09	7.42601882608156e-08	0.000704740275298403	-0.108942122051191	0.108708061156389	-0.000323497065751131
0.999620009577120	0.000379990422879950	0.208622597198260	2.32472285522909e-07	1.02342673624772e-06	0.00128588891354050	-0.107974182608335	0.107459073225246	-0.000806111577743730
0.999329180940144	0.000670819059855998	0.368293530812136	2.15324792084862e-06	6.61184134996644e-06	0.00226417118992574	-0.105906419828676	0.105034461497319	-0.00146588992293055
0.998971214558560	0.00102878544144003	0.564824474065191	1.12398707410669e-05	2.84298714406115e-05	0.00351026690298931	-0.102335173818088	0.101025432704787	-0.00232060165932216
0.998546184981803	0.00145381501819697	0.798174497776510	4.18553578498720e-05	9.37174906597422e-05	0.00502095813727802	-0.0969859730195757	0.0951344077253645	-0.00338147723328610
0.998054175645816	0.00194582435418400	1.06829779388872	0.000124139407192344	0.000254703765781899	0.00676039520938753	-0.0897913348984870	0.0872422984741892	-0.00464467166527795
0.997495278847047	0.00250472115295297	1.37514368974388	0.000311808229519088	0.000595500300991122	0.00864451781927862	-0.0809367078374770	0.0774463836710772	-0.00608155879505197
0.996869595715303	0.00313040428469702	1.71865666298748	0.000688967165312868	0.00123015861061556	0.0105315445135944	-0.0708654567766107	0.0660644741726520	-0.00763057887112884
0.996177236185482	0.00382276381451796	2.09877635708788	0.00137349207040096	0.00228516098560092	0.0122263368870804	-0.0602423924781186	0.0536088791267111	-0.00919450980164230
0.995418318968177	0.00458168103182299	2.51543759747570	0.00251448423837621	0.00386375539876639	0.0135042529051099	-0.0498826334706377	0.0407382443767827	-0.0106469837471469
0.994592971519191	0.00540702848080898	2.96857040828029	0.00428192630309740	0.00599847561898531	0.0141530924483864	-0.0406568233103756	0.0281951423043715	-0.0118494935501362
0.993701330007952	0.00629866999204798	3.45810002967085	0.00684808212096186	0.00860790612510678	0.0140224573859798	-0.0333852257682459	0.0167344548678017	-0.0126757557056822
0.992743539284848	0.00725646071515196	3.98394693579006	0.0103623135586575	0.0114774566828801	0.0130639401638848	-0.0287341102321683	0.00704624298800983	-0.0130365304376924
0.991719752847504	0.00828024715249598	4.54602685326878	0.0149233501300915	0.0142773530228307	0.0113475155503736	-0.0271290613142388	-0.000320740560114457	-0.0128971743744647
