# Postprocessed results of turbulent pipe flow 
# Velocity fluctuations 
# ------------------------------------------------------------------
# uTau = 0.0288969 
# nu = 5.26316e-05 
# ------------------------------------------------------------------
# r	 1-r	 y+	 urur	 utut	 uzuz	 urut	 uruz	 utuz	 
# ------------------------------------------------------------------
1	0	0	6.91450700000000e-09	0.000472033100000000	0.00116582300000000	6.74857000000000e-10	5.89703200000000e-07	1.16181300000000e-06
0.999843600000000	0.000156399999999945	0.0858700280399701	6.91450700000000e-09	0.000472033100000000	0.00116582300000000	6.74857000000000e-10	5.89703200000000e-07	1.16181300000000e-06
0.999620000000000	0.000380000000000047	0.208635618000026	2.32543900000000e-07	0.00270625400000000	0.00686836400000000	9.57086800000000e-09	8.55834900000000e-06	6.88002900000000e-06
0.999329200000000	0.000670799999999971	0.368296769879984	2.15476600000000e-06	0.00812027300000000	0.0213471600000000	5.23228100000000e-08	4.77275900000000e-05	2.10711200000000e-05
0.998971200000000	0.00102880000000005	0.564853483680029	1.12518100000000e-05	0.0182353200000000	0.0500658000000000	1.86513700000000e-07	0.000174853500000000	4.88712200000000e-05
0.998546200000000	0.00145379999999995	0.798195951179972	4.19391500000000e-05	0.0345015700000000	0.0996628200000000	5.24901000000000e-07	0.000501469800000000	9.65140300000000e-05
0.998054200000000	0.00194580000000000	1.06832417238000	0.000124528200000000	0.0581131700000000	0.177914800000000	1.23053600000000e-06	0.00122121100000000	0.000169338500000000
0.997495300000000	0.00250470000000003	1.37518324317001	0.000313419100000000	0.0899035200000000	0.293535800000000	2.57732400000000e-06	0.00263945400000000	0.000275735600000000
0.996869600000000	0.00313039999999998	1.71871825943999	0.000694935200000000	0.130199100000000	0.455930700000000	4.92190800000000e-06	0.00519926600000000	0.000421829700000000
0.996177200000000	0.00382280000000002	2.09887431708001	0.00139224800000000	0.178893100000000	0.674370600000000	8.68891000000000e-06	0.00949599200000000	0.000616594800000000
0.995418300000000	0.00458170000000002	2.51554160787001	0.00256926600000000	0.235380800000000	0.956997000000000	1.43442200000000e-05	0.0162623400000000	0.000855809300000000
0.994593000000000	0.00540700000000005	2.96866522770003	0.00442446900000000	0.298722900000000	1.30966100000000	2.22012600000000e-05	0.0263255800000000	0.00113905500000000
0.993701300000000	0.00629869999999999	3.45824517657000	0.00718827400000000	0.367704500000000	1.73375900000000	3.32000700000000e-05	0.0405207600000000	0.00149152500000000
0.992743500000000	0.00725650000000000	3.98411674215000	0.0111109700000000	0.441008800000000	2.22558400000000	4.71666700000000e-05	0.0595801100000000	0.00184583700000000
0.991719800000000	0.00828019999999996	4.54617011621998	0.0164493700000000	0.517392200000000	2.77492700000000	6.45918100000000e-05	0.0840217200000000	0.00224027600000000
0.990630100000000	0.00936990000000004	5.14446020289002	0.0234601900000000	0.595514000000000	3.36596400000000	8.72542700000000e-05	0.114047800000000	0.00259987500000000
