# Postprocessed results of turbulent pipe flow 
# Mean velocity and pressure 
# ------------------------------------------------------------------
# uTau = 0.0264811 
# nu = 2.65252e-05 
# ------------------------------------------------------------------
# r	 1-r	 y+	 Ur	 Ut	 Uz	 dUz/dy	 P	 
# ------------------------------------------------------------------
1	0	0	-9.36419197129053e-39	3.32269908297240e-38	0	-1.00005051209766	-1.59050397952089e-17
0.999902976248952	9.70237510480310e-05	0.0967781482779905	2.50009666669196e-23	8.93779338888495e-06	0.0967781482779905	-0.999949487902340	-3.65387946965171e-08
0.999775539161755	0.000224460838245011	0.223892645374264	3.93126599065541e-23	2.06784693178887e-05	0.223877791046335	-0.999808001965975	-6.30064213405558e-07
0.999617704438640	0.000382295561360047	0.381327830800982	1.24521439512626e-22	3.52204903578049e-05	0.381268097773131	-0.999596870902919	-4.17048992586669e-06
0.999429489613958	0.000570510386041945	0.569066214592838	-8.66986034105256e-22	5.25587845899854e-05	0.568904366438092	-0.999259075590063	-1.76231679881211e-05
0.999210914053114	0.000789085946885981	0.787088480366064	5.64603984063096e-22	7.26796907146975e-05	0.786715215035325	-0.998691969989265	-5.67300464823808e-05
0.998961998949404	0.00103800105059604	1.03537348847256	1.11916524236316e-21	9.55527023232573e-05	1.03457979791048	-0.997728486060776	-0.000151415142134412
0.998682767320731	0.00131723267926898	1.31389827927597	4.18968279952842e-23	0.000121118882438506	1.31229125952129	-0.996117633411894	-0.000351677667455592
0.998373244006220	0.00162675599378004	1.62263807652847	5.18416075177875e-21	0.000149276649722346	1.61950310770569	-0.993508188967439	-0.000732954266188803
0.998033455662722	0.00196654433727805	1.96156629085719	7.11585909629037e-21	0.000179866454945619	1.95565702777296	-0.989441203523400	-0.00139986893271160
0.997663430761219	0.00233656923878101	2.33065452335064	3.62457182501307e-21	0.000212656300762485	2.31989422561271	-0.983357711094776	-0.00248749241611732
0.997263199583111	0.00273680041688895	2.72987256926221	-5.94680383603890e-21	0.000247329791407015	2.71095747682093	-0.974626811953244	-0.00415965500639158
0.996832794216413	0.00316720578358698	3.15918842180355	-6.79479390873847e-21	0.000283477352556809	3.12709661022954	-0.962595621915845	-0.00660437946912231
0.996372248551831	0.00362775144816896	3.61856827605837	1.45556311562888e-20	0.000320589798216349	3.56599436260642	-0.946657044612281	-0.0100269847132061
0.995881598278753	0.00411840172124700	4.10797653298174	-4.47475382239045e-20	0.000358052406964920	4.02473048183232	-0.926325656850475	-0.0146417380123965
0.995360880881122	0.00463911911887804	4.62737580351622	1.45081250722282e-20	0.000395138220830995	4.49979848742142	-0.901308343519256	-0.0206630392093198
0.994810135633214	0.00518986436678603	5.17672691280339	1.42526881806399e-21	0.000431001977543633	4.98718192189249	-0.871556184765789	-0.0282970072293313
0.994229403595313	0.00577059640468702	5.75598890449797	1.33628012799453e-20	0.000464679891924349	5.48248699527089	-0.837287622225361	-0.0377340652761540
0.993618727609288	0.00638127239071196	6.36511904517942	3.11251578325075e-20	0.000495103084127035	5.98111877876989	-0.798978898857683	-0.0491427808144867
0.992978152294068	0.00702184770593195	7.00407282886576	-4.61339737307473e-21	0.000521132438528630	6.47848093440250	-0.757324277622420	-0.0626649141399987
0.992307724041017	0.00769227595898303	7.67280398162661	1.78802372261801e-20	0.000541620318784761	6.97017587161252	-0.713173839343795	-0.0784114471548954
0.991607491009213	0.00839250899078703	8.37126446629213	4.72306264396332e-20	0.000555498929702589	7.45218350610822	-0.667459664953189	-0.0964593366547532
0.990877503120632	0.00912249687936795	9.09940448725718	5.19658741136952e-20	0.000561884371712687	7.92100169991268	-0.621121653869659	-0.116848843888597
0.990117812055224	0.00988218794477602	9.85717249539295	1.00400160608690e-19	0.000560173530111245	8.37373853271091	-0.575042502805270	-0.139581469845568
0.989328471245912	0.0106715287540881	10.6445151930346	8.55523735076474e-20	0.000550106839732720	8.80815411021300	-0.529998249944598	-0.164618688810247
0.988509535873478	0.0114904641265220	11.4613775390829	-3.96589937139770e-20	0.000531777086082136	9.22265617388722	-0.486627195319897	-0.191881754532781
0.987661062861364	0.0123389371386360	12.3077027541902	1.46868273408434e-19	0.000505580860881918	9.61625836335951	-0.445416756996895	-0.221252829439916
0.986783110870378	0.0132168891296220	13.1834323260406	-1.54805802222041e-19	0.000472132202514834	9.98851225082145	-0.406705461554577	-0.252577575394167
0.985875740293307	0.0141242597066930	14.0885060147231	-2.07848653500270e-19	0.000432175125755965	10.3394244234845	-0.370696008378470	-0.285669182843935
0.984939013249435	0.0150609867505650	15.0228618582007	-1.96721960576686e-19	0.000386523064891580	10.6693685067823	-0.337475101617836	-0.320313650413687
0.983972993578979	0.0160270064210210	15.9864361778595	-1.42644244702537e-19	0.000336019757671017	10.9789997870768	-0.307036216840306	-0.356276004057459
0.982977746837420	0.0170222531625800	16.9791635841634	3.34607830210923e-19	0.000281482543347659	11.2691775992377	-0.279302340683846	-0.393307056181199
0.981953340289760	0.0180466597102400	18.0009769823828	-2.13558358397242e-19	0.000223596690962466	11.5408983595206	-0.254146726805937	-0.431150248250384
0.980899842904680	0.0191001570953200	19.0518075784218	1.41074343374236e-19	0.000162796269764744	11.7952403218232	-0.231410600148771	-0.469548147903201
0.979817325348610	0.0201826746513900	20.1315848847333	-1.83026746152688e-19	9.92329911692258e-05	12.0333198249411	-0.210917404854428	-0.508248292481526
0.978705859979724	0.0212941400202760	21.2402367263081	3.99240957852471e-20	3.28973077108695e-05	12.2562579508071	-0.192483673021377	-0.547008190037021
