# Postprocessed results of turbulent pipe flow 
# Reynolds stress transporation term: k 
# ------------------------------------------------------------------
# uTau = 0.0264811 
# nu = 2.65252e-05 
# ------------------------------------------------------------------
# r	 1-r	 y+	 production	 Turbulent_Transport	 Viscous_Transport	  Pressure_Strain	 Pressure_Transport	 Viscous_Dissipation	 
# ------------------------------------------------------------------
1	0	0	9.95283617772707e-44	-3.17883795588301e-06	0.240886063476821	0	6.39537902695227e-05	-0.246147947331069
0.999902976248952	9.70237510480310e-05	0.0968905967998106	9.14345223239556e-07	4.00545591484318e-06	0.237646062666062	0	0.00209145397098594	-0.241957562735009
0.999775539161755	0.000224460838245011	0.224152790845806	1.14598535270641e-05	2.91217913227029e-05	0.231995264150859	0	0.00461996054005913	-0.236980460509744
0.999617704438640	0.000382295561360047	0.381770903453905	5.74191038198565e-05	0.000123594674627522	0.223724639946092	0	0.00739550536261074	-0.231528363796733
0.999429489613958	0.000570510386041945	0.569727424336849	0.000193753331290517	0.000385575724618672	0.214878544993381	0	0.0102392708708790	-0.225880159630103
0.999210914053114	0.000789085946885981	0.788003014666767	0.000520566561691703	0.000985468664381501	0.205542893924712	0	0.0129795783923957	-0.220242835640913
0.998961998949404	0.00103800105059604	1.03657651023297	0.00120172055570531	0.00218249271185997	0.195537854882528	0	0.0154664601593014	-0.214723164990118
0.998682767320731	0.00131723267926898	1.31542492472182	0.00248347022506627	0.00431987103518155	0.184385647389759	0	0.0175829914957926	-0.209312559717953
0.998373244006220	0.00162675599378004	1.62452345309747	0.00470803040805089	0.00777766935295409	0.171350676817545	0	0.0192521056056276	-0.203891843374609
0.998033455662722	0.00196654433727805	1.96384547509231	0.00831436204380519	0.0128680821665589	0.155578245371652	0	0.0204381559687585	-0.198264686775067
0.997663430761219	0.00233656923878101	2.33336255879756	0.0138170121788062	0.0196814789135333	0.136329436525017	0	0.0211433713405923	-0.192222933511978
0.997263199583111	0.00273680041688895	2.73304446437110	0.0217554369061307	0.0279273063032727	0.113262554581925	0	0.0214001957558003	-0.185632330655110
0.996832794216413	0.00316720578358698	3.16285914783524	0.0326123505329696	0.0368411638416075	0.0866696839431681	0	0.0212610860795765	-0.178510725136752
0.996372248551831	0.00362775144816896	3.62277276499506	0.0467099446136397	0.0452241577633903	0.0575707247593712	0	0.0207876440382335	-0.171065226529192
0.995881598278753	0.00411840172124700	4.11274967544235	0.0641042722717156	0.0516360924464182	0.0276096285999840	0	0.0200409312755569	-0.163667340140713
0.995360880881122	0.00463911911887804	4.63275244667658	0.0845056158405732	0.0546994756995351	-0.00122868878152350	0	0.0190744295895956	-0.156770573959247
0.994810135633214	0.00518986436678603	5.18274185832124	0.107251519567982	0.0534210093336988	-0.0269945507742846	0	0.0179304691615367	-0.150799365850155
0.994229403595313	0.00577059640468702	5.76267690644304	0.131347906113087	0.0474277705041232	-0.0481278985712603	0	0.0166401842492953	-0.146048312952337
0.993618727609288	0.00638127239071196	6.37251480796859	0.155575538102543	0.0370491590764162	-0.0636951737871566	0	0.0152263279340815	-0.142623014771141
0.992978152294068	0.00702184770593195	7.01221100520350	0.178640717223945	0.0232327663506604	-0.0734641773549810	0	0.0137077528904171	-0.140434780367442
0.992307724041017	0.00769227595898303	7.68171917045075	0.199337415547563	0.00733510267283750	-0.0778282543309954	0	0.0121041517664109	-0.139241544864464
0.991607491009213	0.00839250899078703	8.38099121072513	0.216686876691694	-0.00914269842394570	-0.0776299084219235	0	0.0104397817196449	-0.138714766573957
0.990877503120632	0.00912249687936795	9.10997727256297	0.230029526418626	-0.0248031862360071	-0.0739471650081737	0	0.00874532790460223	-0.138509498320558
0.990117812055224	0.00988218794477602	9.86862574693945	0.239058575640697	-0.0385340814817486	-0.0678973338791170	0	0.00705764457933084	-0.138320113616980
0.989328471245912	0.0106715287540881	10.6568832742621	0.243799448904993	-0.0496012798771737	-0.0604919399565117	0	0.00541764978816926	-0.137913179108200
0.988509535873478	0.0114904641265220	11.4746947494783	0.244549678996227	-0.0576585045483795	-0.0525536647432474	0	0.00386702548417578	-0.137137630177954
0.987661062861364	0.0123389371386360	12.3220033272673	0.241798246543331	-0.0626958143587616	-0.0446886237037840	0	0.00244454422197239	-0.135918028016912
0.986783110870378	0.0132168891296220	13.1987504273264	0.236142093450496	-0.0649547377070629	-0.0372983311851132	0	0.00118275554339061	-0.134238480716747
0.985875740293307	0.0141242597066930	14.1048757397508	0.228212748041437	-0.0648348063086141	-0.0306141501518946	0	0.000105531899391487	-0.132123712690961
0.984939013249435	0.0150609867505650	15.0403172305087	0.218620043910757	-0.0628092761891592	-0.0247396840449333	0	-0.000773275725601240	-0.129621695627414
0.983972993578979	0.0160270064210210	16.0050111469962	0.207914705635578	-0.0593599446484031	-0.0196909636345328	0	-0.00145001414985884	-0.126790431478342
0.982977746837420	0.0170222531625800	16.9988920237001	0.196568021552431	-0.0549335380002995	-0.0154291088916602	0	-0.00193042684687135	-0.123689511968345
0.981953340289760	0.0180466597102400	18.0218926879321	0.184964995572491	-0.0499169741158060	-0.0118843030016913	0	-0.00222819623186581	-0.120375593290392
0.980899842904680	0.0191001570953200	19.0739442656628	0.173406869662235	-0.0446268411726386	-0.00897252748825610	0	-0.00236308777887949	-0.116900249214454
0.979817325348610	0.0201826746513900	20.1549761874443	0.162119281048854	-0.0393086710621669	-0.00660688349501727	0	-0.00235899327498933	-0.113308901213355
0.978705859979724	0.0212941400202760	21.2649161944058	0.151263085895395	-0.0341427744490373	-0.00470452792411118	0	-0.00224190497087667	-0.109641034506357
