# Postprocessed results of turbulent pipe flow 
# Reynolds stress transporation term: k 
# ------------------------------------------------------------------
# uTau = 0.0264811 
# nu = 2.65252e-05 
# ------------------------------------------------------------------
# r	 1-r	 y+	 production	 Turbulent_Transport	 Viscous_Transport	  Pressure_Strain	 Pressure_Transport	 Viscous_Dissipation	 
# ------------------------------------------------------------------
1	0	0	3.54145323408389e-38	-9.62599464374261e-08	0.000480081333218460	-0.128283358344322	0.128458958159753	1.02228062714194e-20
0.999902976248952	9.70237510480310e-05	0.0968905967998106	1.30534099583447e-08	1.23351949615157e-07	0.000830505754233111	-0.127862796589831	0.127569739974954	-0.000394621866370959
0.999775539161755	0.000224460838245011	0.224152790845806	3.59550221326291e-07	1.45195071529083e-06	0.00147555866450617	-0.126643240938169	0.126045873743410	-0.000938297328546002
0.999617704438640	0.000382295561360047	0.381770903453905	2.88315350255573e-06	8.52372423751310e-06	0.00252360879338782	-0.124225880344551	0.123256066330081	-0.00164757348105289
0.999429489613958	0.000570510386041945	0.569727424336849	1.35057973385348e-05	3.40526828826964e-05	0.00381645554901936	-0.120270935577640	0.118851390514558	-0.00253699575177297
0.999210914053114	0.000789085946885981	0.788003014666767	4.62730499297277e-05	0.000105727592057272	0.00534740992649229	-0.114563469360656	0.112591248274386	-0.00361386492649891
0.998961998949404	0.00103800105059604	1.03657651023297	0.000128589025882413	0.000273577756935195	0.00708113033894702	-0.107065778434729	0.104387889643134	-0.00487166175035436
0.998682767320731	0.00131723267926898	1.31542492472182	0.000306827188119267	0.000614751336522535	0.00894260072158728	-0.0979467449575342	0.0943301713816806	-0.00628307867631397
0.998373244006220	0.00162675599378004	1.62452345309747	0.000651066130415569	0.00123119040682423	0.0108111025078208	-0.0875833688334796	0.0826850233586790	-0.00779460219396253
0.998033455662722	0.00196654433727805	1.96384547509231	0.00125743949431830	0.00223585369372770	0.0125241342437974	-0.0765344821678260	0.0698792571367295	-0.00932509516466556
0.997663430761219	0.00233656923878101	2.33336255879756	0.00224659477944578	0.00372608449799525	0.0138945978911393	-0.0654905662624546	0.0564664223322220	-0.0107706702495345
0.997263199583111	0.00273680041688895	2.73304446437110	0.00375711049680094	0.00574832901206094	0.0147402532640151	-0.0552059642689866	0.0430829707042204	-0.0120164985615275
