# Postprocessed results of turbulent pipe flow 
# Velocity fluctuations 
# ------------------------------------------------------------------
# uTau = 0.0264811 
# nu = 2.65252e-05 
# ------------------------------------------------------------------
# r	 1-r	 y+	 urur	 utut	 uzuz	 urut	 uruz	 utuz	 
# ------------------------------------------------------------------
1	0	0	3.64353714771628e-38	3.55284084809801e-38	3.29818129649241e-39	3.55284543848926e-38	1.42425582956323e-43	5.85301525353145e-43
0.999902976248952	9.70237510480310e-05	0.0967781482779905	1.29824166448296e-08	0.000687010386562229	0.00159818534330880	0.000687010384100422	-9.11652003843614e-07	7.92503227255187e-07
0.999775539161755	0.000224460838245011	0.223892645374264	3.57670750686653e-07	0.00356517968486955	0.00853074225720112	0.00356517965502776	-1.14273695116253e-05	4.22842350558806e-06
0.999617704438640	0.000382295561360047	0.381327830800982	2.86893842988500e-06	0.00995812740052220	0.0246721187992897	0.00995812725721679	-5.72665172373765e-05	1.22253835573188e-05
0.999429489613958	0.000570510386041945	0.569066214592838	1.34451417568428e-05	0.0212115420287088	0.0547706555778395	0.0212115415695528	-0.000193297302000617	2.71380186437439e-05
0.999210914053114	0.000789085946885981	0.787088480366064	4.60968993196275e-05	0.0385615968347177	0.104423256498678	0.0385615956744283	-0.000519621303142137	5.17586957787014e-05
0.998961998949404	0.00103800105059604	1.03537348847256	0.000128240585448486	0.0630191132496616	0.180023891221695	0.0630191107546013	-0.00120067493942436	8.93151093713397e-05
0.998682767320731	0.00131723267926898	1.31389827927597	0.000306536974243121	0.0952798698371326	0.288644874915847	0.0952798650809923	-0.00248531887800199	0.000143441485903424
0.998373244006220	0.00162675599378004	1.62263807652847	0.000652267674452017	0.135668520979939	0.437790037253229	0.135668512747291	-0.00472401445116664	0.000218081255371369
0.998033455662722	0.00196654433727805	1.96156629085719	0.00126516936989701	0.184120458577314	0.634950709090607	0.184120445446005	-0.00837730891479864	0.000317263516365754
0.997663430761219	0.00233656923878101	2.33065452335064	0.00227484003472031	0.240202421004701	0.886915210350610	0.240202401537862	-0.0140089179396012	0.000444698830331095
0.997263199583111	0.00273680041688895	2.72987256926221	0.00383924514338895	0.303168512972510	1.19884242496349	0.303168486041217	-0.0222578216751287	0.000603178191407278
0.996832794216413	0.00316720578358698	3.15918842180355	0.00614036854818441	0.372043726676684	1.57320430839977	0.372043691898165	-0.0337875769464821	0.000793834267980273
0.996372248551831	0.00362775144816896	3.61856827605837	0.00937753482380599	0.445722886819031	2.00879910796600	0.445722845014861	-0.0492168908309908	0.00101541184147052
0.995881598278753	0.00411840172124700	4.10797653298174	0.0137592582046775	0.523070479524080	2.50008896869009	0.523070432996705	-0.0690415362962883	0.00126375108555121
0.995360880881122	0.00463911911887804	4.62737580351622	0.0194945841944405	0.603007147020700	3.03708489025264	0.603007099387036	-0.0935615834371652	0.00153168038031889
0.994810135633214	0.00518986436678603	5.17672691280339	0.0267847855929479	0.684571925413333	3.60588651930765	0.684571880827544	-0.122828045201292	0.00180944819890936
0.994229403595313	0.00577059640468702	5.75598890449797	0.0358160101745226	0.766954740660338	4.18982231662765	0.766954702557680	-0.156619276682513	0.00208571395021438
0.993618727609288	0.00638127239071196	6.36511904517942	0.0467531451446922	0.849499792842701	4.77098687018638	0.849499762695844	-0.194451166616632	0.00234896729400333
0.992978152294068	0.00702184770593195	7.00407282886576	0.0597348659601325	0.931685706381945	5.33188771682449	0.931685683098123	-0.235618365735198	0.00258907368885299
0.992307724041017	0.00769227595898303	7.67280398162661	0.0748696558938544	1.01309157394795	5.85691506947730	1.01309155429677	-0.279258349127177	0.00279854786755924
0.991607491009213	0.00839250899078703	8.37126446629213	0.0922325518178419	1.09335884124814	6.33342174231682	1.09335882121702	-0.324427083228940	0.00297325297225871
0.990877503120632	0.00912249687936795	9.09940448725718	0.111862473716414	1.17215760657140	6.75231278957498	1.17215758311620	-0.370174699994151	0.00311247165869666
0.990117812055224	0.00988218794477602	9.85717249539295	0.133760168361146	1.24916306556692	7.10815594429348	1.24916303815629	-0.415611446444512	0.00321849819650676
0.989328471245912	0.0106715287540881	10.6445151930346	0.157886955623588	1.32404446257672	7.39890594008573	1.32404443416855	-0.459957452101726	0.00329591404182411
0.988509535873478	0.0114904641265220	11.4613775390829	0.184164545177394	1.39646584471463	7.62537598095897	1.39646582192197	-0.502573589423748	0.00335058956880317
0.987661062861364	0.0123389371386360	12.3077027541902	0.212476166911553	1.46609568587846	7.79059106119925	1.46609567804781	-0.542974039915725	0.00338843774315683
0.986783110870378	0.0132168891296220	13.1834323260406	0.242669147533208	1.53262135593094	7.89913288170160	1.53262137310116	-0.580823560912080	0.00341415363671238
0.985875740293307	0.0141242597066930	14.0885060147231	0.274558907742498	1.59576449575355	7.95654976834947	1.59576454634719	-0.615923670343029	0.00343032237895608
0.984939013249435	0.0150609867505650	15.0228618582007	0.307934190115059	1.65529432122795	7.96886953490396	1.65529441110949	-0.648192140398725	0.00343709239800610
0.983972993578979	0.0160270064210210	15.9864361778595	0.342563211090026	1.71103713702367	7.94222538052527	1.71103727081157	-0.677639690111443	0.00343242895041130
0.982977746837420	0.0170222531625800	16.9791635841634	0.378200340521080	1.76288141907832	7.88258740115530	1.76288160190959	-0.704346903587390	0.00341317738373261
